"Rowid_","MASK","X","Y","SLOPE_PERCENT","COVER_FALL09","COVER_FALL11","COVER_SPRING10","COVER_SPRING11","CTI","DEM_AZ_FT","PRECIP_AVG"
,2153,276309.846290,4037212.575405,14.379718,32.000000,31.000000,27.000000,29.000000,4.152431,5579.668457,13.040558
,2154,265343.092648,4058591.905050,7.659396,32.000000,29.000000,27.000000,29.000000,5.475451,5329.738281,13.506306
,2155,306082.075914,4044375.762928,11.635916,25.000000,28.000000,26.000000,26.000000,5.057289,5719.103027,14.196464
,2156,322098.721248,4034480.709694,5.156809,24.000000,26.000000,26.000000,24.000000,8.269001,5938.546386,15.395677
,2157,296389.342384,4015509.722624,24.951602,35.000000,31.000000,29.000000,33.000000,6.086234,5078.566406,10.814179
,2158,305817.773953,4044446.691522,19.037588,26.000000,29.000000,24.000000,25.000000,3.871852,5719.634765,14.196464
,2159,284461.860042,4048575.422233,0.737910,10.000000,22.000000,10.000000,22.000000,11.707564,5109.917480,11.782683
,2160,266719.098395,3971603.747912,12.028903,24.000000,18.000000,16.000000,19.000000,5.717235,4361.395996,9.770084
,2161,275776.737847,3991933.448363,34.014461,38.000000,23.000000,29.000000,23.000000,3.984627,4668.445800,12.010242
,2162,277309.038439,4019616.710652,20.267038,29.000000,27.000000,26.000000,27.000000,6.111848,5732.367187,14.429141
,2163,335710.014921,4044561.922137,60.841213,20.000000,21.000000,21.000000,23.000000,3.808615,5150.083496,12.551976
,2164,316832.372934,4029191.254692,58.380252,25.000000,25.000000,24.000000,24.000000,4.137588,5950.059570,13.445283
,2165,296354.709665,4034387.762190,13.124824,26.000000,34.000000,26.000000,29.000000,4.936921,6175.042480,14.415756
,2166,269296.019965,4019761.496062,9.128911,34.000000,30.000000,35.000000,35.000000,6.398569,5882.777832,14.183865
,2167,278899.146491,4007969.837392,30.028497,36.000000,30.000000,33.000000,32.000000,4.802412,4480.723632,12.953157
,2168,270499.529813,3989209.955813,43.921405,29.000000,20.000000,25.000000,28.000000,4.827626,4580.932128,12.692920
,2169,274345.414763,4060158.965227,3.428594,23.000000,27.000000,25.000000,27.000000,10.406444,5140.906738,12.020479
,2170,336013.233876,4044408.778247,13.825139,24.000000,22.000000,23.000000,22.000000,5.290402,5249.890136,12.551976
,2171,246943.238084,4064771.966346,30.004373,24.000000,28.000000,23.000000,27.000000,4.110072,4906.655273,11.120085
,2172,285245.296283,4021006.167365,32.653709,25.000000,24.000000,25.000000,27.000000,4.025460,4279.141601,11.177959
,2173,297739.177039,4036291.812061,3.567362,27.000000,33.000000,33.000000,28.000000,6.645064,6104.147460,14.168118
,2174,249078.592361,3999491.452341,35.864830,16.000000,19.000000,17.000000,25.000000,3.931662,4787.583984,11.896464
,2175,273996.030421,4069410.569881,52.733871,19.000000,23.000000,24.000000,27.000000,4.462444,5288.617187,13.022054
,2176,271782.859053,3987760.919867,3.622149,28.000000,25.000000,26.000000,24.000000,9.402359,5954.647949,10.679140
,2177,313144.359652,4021094.487364,0.716622,22.000000,22.000000,20.000000,21.000000,11.083359,4673.887207,11.303155
,2178,243182.106990,4057828.003128,12.008915,18.000000,20.000000,20.000000,25.000000,6.529852,4485.572753,9.771265
,2179,248849.236070,4059260.924774,4.263498,29.000000,28.000000,31.000000,34.000000,7.447623,5009.280761,10.527172
,2180,316708.428930,4015622.328257,6.067563,28.000000,29.000000,30.000000,30.000000,6.807071,6281.381835,13.695282
,2181,282713.855503,4087590.119396,20.826669,15.000000,26.000000,12.000000,21.000000,6.266933,3857.606445,12.590951
,2182,257544.369225,4052009.017145,12.803708,32.000000,29.000000,36.000000,37.000000,4.961702,5206.638671,14.177566
,2183,323145.002105,4033214.725154,2.952995,27.000000,34.000000,33.000000,34.000000,7.344893,5882.850585,15.944890
,2184,275762.935392,3974679.638430,94.919006,18.000000,22.000000,8.000000,24.000000,5.400742,4407.307617,10.184651
,2185,277728.246729,4039924.684452,9.988057,23.000000,30.000000,25.000000,31.000000,6.596334,5478.590820,12.547251
,2186,278749.214352,3967851.242001,13.119161,30.000000,21.000000,24.000000,20.000000,5.853627,4962.725097,12.389377
,2187,242963.482249,4052786.872681,20.213003,22.000000,22.000000,25.000000,29.000000,6.009169,4035.707519,8.740949
,2188,236642.399316,4060315.191789,9.479308,21.000000,21.000000,22.000000,27.000000,5.955455,3908.518798,8.607878
,2189,340358.853253,4034742.461920,2.674168,32.000000,38.000000,32.000000,35.000000,5.834610,5504.314453,14.150794
,2190,286774.059215,4016075.308542,67.861160,18.000000,20.000000,34.000000,36.000000,6.156153,5358.778320,11.894888
,2191,276225.655788,4074773.286948,16.652650,22.000000,19.000000,20.000000,24.000000,6.308278,5093.823242,13.280715
,2192,265202.704925,3975082.934841,43.069484,30.000000,31.000000,27.000000,32.000000,4.154063,3955.683593,9.079532
,2193,258408.229890,4062356.994078,56.019645,11.000000,15.000000,14.000000,21.000000,4.402005,5019.459472,12.710637
,2194,311767.665763,4037668.431607,26.636354,26.000000,19.000000,26.000000,25.000000,6.020902,5883.107910,14.915363
,2195,275045.137487,3987505.339777,54.133480,9.000000,23.000000,29.000000,34.000000,4.436254,3935.288085,11.211817
,2196,297247.575597,4022781.790238,54.868614,24.000000,14.000000,20.000000,19.000000,4.605089,5499.168945,12.521266
,2197,296194.554009,4038618.771166,2.925375,30.000000,28.000000,25.000000,25.000000,6.843432,6120.208007,14.096071
,2198,283488.708501,3966599.283850,12.915845,29.000000,30.000000,26.000000,27.000000,5.358426,4317.477050,9.161816
,2199,322431.185720,4019393.891785,16.787559,27.000000,32.000000,36.000000,33.000000,5.789365,6009.569335,14.057882
,2200,290394.697037,4043790.423270,5.059638,13.000000,15.000000,13.000000,17.000000,5.890094,5063.351562,11.774415
,2201,331586.328910,4043339.365904,1.738576,31.000000,27.000000,27.000000,27.000000,8.211163,5342.430175,12.872447
,2202,332245.392293,4036755.781768,0.000000,31.000000,32.000000,29.000000,31.000000,15.377857,5591.528808,13.776386
,2203,249899.313289,4082296.717161,37.492801,29.000000,29.000000,30.000000,37.000000,3.194122,4577.113281,11.122447
,2204,281592.783555,4080426.856263,30.642425,30.000000,24.000000,24.000000,26.000000,5.005331,4450.552246,12.661030
,2205,284472.726972,4055280.280711,27.953229,21.000000,18.000000,17.000000,20.000000,5.097170,5052.388671,11.945282
,2206,320369.118452,4038704.476962,5.817658,34.000000,30.000000,32.000000,28.000000,8.640888,5979.221191,14.846071
,2207,266798.837760,3980197.328569,33.830802,29.000000,22.000000,25.000000,24.000000,9.199534,4415.400390,9.850399
,2208,345579.690122,4029800.354088,2.891871,29.000000,28.000000,28.000000,29.000000,8.646747,5679.030273,13.886227
,2209,263285.350977,4056340.212890,19.880201,26.000000,27.000000,33.000000,32.000000,4.927154,5352.684082,14.882684
,2210,263153.220082,4048984.178250,29.041389,28.000000,31.000000,31.000000,41.000000,5.395460,5620.315429,16.348434
,2211,321088.246004,4034710.303701,1.486109,28.000000,28.000000,26.000000,28.000000,7.520942,5921.223144,15.313001
,2212,293752.411325,4043832.899734,3.570088,31.000000,26.000000,26.000000,29.000000,6.238840,6297.037109,14.398827
,2213,323142.954678,4042915.253899,25.212713,28.000000,23.000000,22.000000,21.000000,4.689535,5734.617675,14.192527
,2214,272389.329754,4037748.233151,5.369866,33.000000,34.000000,30.000000,33.000000,7.535382,5698.672851,13.576779
,2215,247027.797337,3999254.319813,4.248274,19.000000,21.000000,20.000000,24.000000,8.367437,4527.343750,11.512211
,2216,259751.854930,4057720.725287,22.691860,27.000000,26.000000,23.000000,27.000000,3.696269,4538.769531,12.707880
